StateFull,State,Population
Alaska,AK,737438
Alabama,AL,4887871
Arkansas,AR,3013825
Arizona,AZ,7171646
California,CA,39557045
Colorado,CO,5695564
Connecticut,CT,3572665
District of Columbia,DC,702455
Delaware,DE,967171
Florida,FL,21299325
Georgia,GA,10519475
Hawaii,HI,1420491
Iowa,IA,3156145
Idaho,ID,1754208
Illinois,IL,12741080
Indiana,IN,6691878
Kansas,KS,2911505
Kentucky,KY,4468402
Louisiana,LA,4659978
Massachusetts,MA,6902149
Maryland,MD,6042718
Maine,ME,1338404
Michigan,MI,9995915
Minnesota,MN,5611179
Missouri,MO,6126452
Mississippi,MS,2986530
Montana,MT,1062305
North Carolina,NC,10383620
North Dakota,ND,760077
Nebraska,NE,1929268
New Hampshire,NH,1356458
New Jersey,NJ,8908520
New Mexico,NM,2095428
Nevada,NV,3034392
New York,NY,19542209
Ohio,OH,11689442
Oklahoma,OK,3943079
Oregon,OR,4190713
Pennsylvania,PA,12807060
Rhode Island,RI,1057315
South Carolina,SC,5084127
South Dakota,SD,882235
Tennessee,TN,6770010
Texas,TX,28701845
Utah,UT,3161105
Virginia,VA,8517685
Vermont,VT,626299
Washington,WA,7535591
Wisconsin,WI,5813568
West Virginia,WV,1805832
Wyoming,WY,577737
